source_sheet,source_row,target_year,jenis,nama_paket_source,sub_source,effective_pagu,package_action,road_match_status,notes,top_candidates
REKONSILIASI_APBDP_2026,52,2026,PHYSICAL,Rekonstruksi Loksado – Loklahung,0059 – Rekonstruksi Jalan,1562423000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_156"", ""name"": ""Loksado - Loklahung"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_100"", ""name"": ""Loksado - Haratai"", ""score"": 0.4658, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_206"", ""name"": ""Loklahung - Kamawakan"", ""score"": 0.4262, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_231"", ""name"": ""Loklahung - Malaris"", ""score"": 0.4237, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_228"", ""name"": ""Jl. Loksado - Pantai Dusin"", ""score"": 0.3508, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,53,2026,PHYSICAL,Rekonstruksi Bayanan – Habirau   (Jl. Inpres) dan Jl. Gerilya,0059 – Rekonstruksi Jalan,2855926000,REVIEW,UNMATCHED,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Tidak ada kandidat jalan dengan skor minimal 0.70.,"[{""ref"": ""ruas_224"", ""name"": ""Bayanan - Habirau Tengah"", ""score"": 0.55, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_108"", ""name"": ""Bayanan - Pihanin"", ""score"": 0.3778, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_192"", ""name"": ""Jl. Gerilya / (Depan Pustu Habirau)"", ""score"": 0.3746, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_303"", ""name"": ""Jl. Gerilya Ds. Simpur"", ""score"": 0.3222, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_246"", ""name"": ""Jl. Harapan (SDN Habirau II)/Sei. Palangan"", ""score"": 0.2028, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,54,2026,PHYSICAL,Peningkatan Struktur Malilingin   – Lokbahan – Paniungan,0059 – Rekonstruksi Jalan,2149520000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_003"", ""name"": ""Malilingin - Lokbahan - Paniungan"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_209"", ""name"": ""Malilingin - Muara Hariang"", ""score"": 0.3479, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_013"", ""name"": ""Tambak Pipii - Malilingin"", ""score"": 0.2812, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_278"", ""name"": ""Jl. Menuju SMPN Malilingin"", ""score"": 0.2812, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_332"", ""name"": ""Padang Batung - Batu Laki - Malilingin"", ""score"": 0.2165, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,55,2026,PHYSICAL,Peningkatan Struktur Simpang   Malutu – Pahampangan,0059 – Rekonstruksi Jalan,3182340000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_219"", ""name"": ""Simpang Malutu - Pahampangan"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_007"", ""name"": ""Simpang Malutu - Tambak"", ""score"": 0.6262, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_181"", ""name"": ""Hamalau - Pahampangan"", ""score"": 0.4607, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_148"", ""name"": ""SP.3 Baluti - Amawang"", ""score"": 0.3036, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_085"", ""name"": ""Simpur - Simpang Bilui"", ""score"": 0.291, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,56,2026,PHYSICAL,Rekonstruksi Bamban Tengah –   Loknyiur / Bamban (Tibung) – Martajiwa,0059 – Rekonstruksi Jalan,3085419000,REVIEW,REVIEW,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket mengindikasikan lebih dari satu ruas; tidak memilih satu ruas secara otomatis.,"[{""ref"": ""ruas_237"", ""name"": ""Jl. Bamban (Tibung) - Martajiwa"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_142"", ""name"": ""Bamban Tengah - Lok Nyiur"", ""score"": 0.4317, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_336"", ""name"": ""Bajayau - Bajayau Tengah"", ""score"": 0.356, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_315"", ""name"": ""Taniran Tengah - Taniran Selatan"", ""score"": 0.2935, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_069"", ""name"": ""Jl. Muning Tengah - Muning Dalam"", ""score"": 0.2815, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,57,2026,PHYSICAL,Rekonstruksi Ds. Balimau – Oprit   Jembatan Balimau,0059 – Rekonstruksi Jalan,2898871000,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
REKONSILIASI_APBDP_2026,58,2026,PHYSICAL,Peningkatan Struktur Asam Duhat   – Ds. Pantai Ulin (TMMD),0059 – Rekonstruksi Jalan,1356760000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama ruas termuat lengkap pada nama paket/lokasi.,"[{""ref"": ""ruas_347"", ""name"": ""Jl. Asam Duhat - Ds. Pantai Ulin"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_025"", ""name"": ""Jl. Mondar (Ulin - Pantai Ulin)"", ""score"": 0.5368, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_088"", ""name"": ""Jl. Jangkang - Pantai Ulin"", ""score"": 0.5368, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_269"", ""name"": ""Jl. Baru - Asam Desa Baru/Asam"", ""score"": 0.3621, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_216"", ""name"": ""Jl. Bangga TMMD"", ""score"": 0.3483, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,59,2026,PHYSICAL,Rekonstruksi Tambangan – Baruh   Jaya / Jl. Sungai Bagandi,0059 – Rekonstruksi Jalan,4376704550,REVIEW,REVIEW,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket mengindikasikan lebih dari satu ruas; tidak memilih satu ruas secara otomatis.,"[{""ref"": ""ruas_118"", ""name"": ""Jl. Tambangan - Ds. Baruh Jaya"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_119"", ""name"": ""Pandak Daun - Baruh Jaya - Samuda"", ""score"": 0.3777, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_236"", ""name"": ""Jl. Sungai Bugundi"", ""score"": 0.3649, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_047"", ""name"": ""Kalumpang - Baruh"", ""score"": 0.3595, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_202"", ""name"": ""Jl. Kenanga - Ds. Baruh Kambang"", ""score"": 0.3014, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,60,2026,PHYSICAL,Rekonstruksi Ds. Sungai Raya   Utara,0059 – Rekonstruksi Jalan,906500000,REVIEW,FUZZY_AUTO,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Token overlap dan normalized edit similarity.,"[{""ref"": ""ruas_322"", ""name"": ""Jl. Pembangunan - Ds. Sungai Raya Utara"", ""score"": 0.9097, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_017"", ""name"": ""Jl. Sungai Raya Utara-Teluk Pinang"", ""score"": 0.5862, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_329"", ""name"": ""Jl. Kalaka Dayuh - Ds. Sungai Raya Utara"", ""score"": 0.5862, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_326"", ""name"": ""Jl. TPA Sungai Raya Selatan"", ""score"": 0.4917, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_005"", ""name"": ""Jl. Hariti - Sungai Raya Selatan"", ""score"": 0.47, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,61,2026,PHYSICAL,Rekonstruksi Samuda – Bajayau   DBH Sawit Tahap 4,0059 – Rekonstruksi Jalan,1654003900,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama ruas termuat lengkap pada nama paket/lokasi.,"[{""ref"": ""ruas_251"", ""name"": ""Samuda - Bajayau"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_336"", ""name"": ""Bajayau - Bajayau Tengah"", ""score"": 0.3752, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_135"", ""name"": ""Jl. Baru - Ds. Bajayau"", ""score"": 0.3634, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_337"", ""name"": ""Jl. Badaun - Ds. Bajayau Lama"", ""score"": 0.2865, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_339"", ""name"": ""Simpang Jadi Makmur Ds. Samuda"", ""score"": 0.2172, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,76,2027,PLANNING,Perencanaan Jl. Cangkingan   Herman / Kampung Kawat / Keminting Batu / Tukang Garit,0059 – Rekonstruksi Jalan,80000000,EXISTING,REVIEW,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Nama paket mengindikasikan lebih dari satu ruas; tidak memilih satu ruas secara otomatis.","[{""ref"": ""ruas_113"", ""name"": ""Jl. Kampung Kawat"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_133"", ""name"": ""Jl. Tukang Garit"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_134"", ""name"": ""Jl. Keminting Batu"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_121"", ""name"": ""Pakan Dalam - Keminting Batu"", ""score"": 0.3914, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_117"", ""name"": ""Jl. Cakingan Herman"", ""score"": 0.3342, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,80,2027,PLANNING,Perencanaan Teluk Haur I dan   Teluk Haur II,0059 – Rekonstruksi Jalan,60000000,EXISTING,REVIEW,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Nama paket mengindikasikan lebih dari satu ruas; tidak memilih satu ruas secara otomatis.","[{""ref"": ""ruas_200"", ""name"": ""Teluk haur I"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_201"", ""name"": ""Teluk Haur II"", ""score"": 0.98, ""method"": ""strong_containment""}, {""ref"": ""ruas_096"", ""name"": ""Teluk Pinang - Baluti"", ""score"": 0.2895, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_321"", ""name"": ""Pagar Haur - Malutu"", ""score"": 0.2829, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_120"", ""name"": ""Pakan Dalam II"", ""score"": 0.2762, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,83,2027,PLANNING,Perencanaan YONIF TP 829 / BUMI   ANTALUDIN,0059 – Rekonstruksi Jalan,60000000,EXISTING,UNMATCHED,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Tidak ada kandidat jalan dengan skor minimal 0.70.","[{""ref"": ""ruas_178"", ""name"": ""Bumi Berkat - Mungkur Galah"", ""score"": 0.1847, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_308"", ""name"": ""Batang Kulur Kanan - Bumi Berkat (Jl. Kisung)"", ""score"": 0.1697, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_025"", ""name"": ""Jl. Mondar (Ulin - Pantai Ulin)"", ""score"": 0.0667, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_088"", ""name"": ""Jl. Jangkang - Pantai Ulin"", ""score"": 0.0667, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_147"", ""name"": ""Sungai Paring - Sei Hanyar Pantai Ulin"", ""score"": 0.0634, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,84,2027,PLANNING,Long Segment Sp.4 Baru/Tampang –   Sp. Bilui Pamujaan + Sp. Mesjid Sirih – Sarang Nyamuk – Asam Tamiyang,0059 – Rekonstruksi Jalan,100000000,EXISTING,REVIEW,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Nama paket mengindikasikan lebih dari satu ruas; tidak memilih satu ruas secara otomatis.","[{""ref"": ""ruas_011"", ""name"": ""SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang"", ""score"": 0.86, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_012"", ""name"": ""SP.4 Baru/Tampang - SP. Biluy Pamujaan"", ""score"": 0.86, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_269"", ""name"": ""Jl. Baru - Asam Desa Baru/Asam"", ""score"": 0.86, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_268"", ""name"": ""Asam Seranggan - Asam Tamiyang"", ""score"": 0.4355, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_085"", ""name"": ""Simpur - Simpang Bilui"", ""score"": 0.4215, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,92,2026,PHYSICAL,Pemeliharaan Rutin Jembatan,0067 – Pemeliharaan Rutin   Jembatan,2106495000,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
REKONSILIASI_APBDP_2026,94,2026,PHYSICAL,Pembangunan Jembatan Bubuih Kec.   Loksado,0069 – Pembangunan Jembatan,6003275650,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
REKONSILIASI_APBDP_2026,101,2026,PHYSICAL,Rehabilitasi Ruas Jalan Bakarung   – Tabihi – Karang Jawa Kec. Padang Batung,0055 – Rehabilitasi Jalan,4886530000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_102"", ""name"": ""Bakarung - Tabihi -Karang Jawa"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_098"", ""name"": ""Bakarung Tengah - Karang Jawa"", ""score"": 0.7098, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_175"", ""name"": ""Muara Banta - Karang Jawa"", ""score"": 0.4661, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_247"", ""name"": ""Bakarung - Rantauan"", ""score"": 0.4068, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_057"", ""name"": ""Karang Jawa - Ambarai - Sungai Bungur"", ""score"": 0.3506, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,102,2026,PHYSICAL,Rehabilitasi Ruas Jalan Sungai   Raya Selatan – Malutu – Goa Berangin Kec. Sungai Raya,0055 – Rehabilitasi Jalan,4896448000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_009"", ""name"": ""Sungai Raya Selatan - Malutu - Goa Berangin"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_326"", ""name"": ""Jl. TPA Sungai Raya Selatan"", ""score"": 0.5733, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_163"", ""name"": ""Paharuangan - Sungai Raya Selatan"", ""score"": 0.5687, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_005"", ""name"": ""Jl. Hariti - Sungai Raya Selatan"", ""score"": 0.5594, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_046"", ""name"": ""Sungai Raya Selatan - Sarang Halang"", ""score"": 0.5427, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,103,2026,PHYSICAL,Rehabilitasi Jl. Pangeran   Antasari – SP. Loklua Kec. Kandangan,0055 – Rehabilitasi Jalan,3355518000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_097"", ""name"": ""Jl. Pangeran Antasari - SP. Loklua"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_075"", ""name"": ""Tanayung - Simpang Ambarai"", ""score"": 0.3049, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_085"", ""name"": ""Simpur - Simpang Bilui"", ""score"": 0.299, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_160"", ""name"": ""Jl. DI. Panjaitan - Loklua"", ""score"": 0.299, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_067"", ""name"": ""Tembok Lama - Loklua"", ""score"": 0.2873, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,104,2026,PHYSICAL,Rehabilitasi Ruas Jalan Menuju   Stadion 2 Desember Kec. Kandangan,0055 – Rehabilitasi Jalan,3547203000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_302"", ""name"": ""Jl. Menuju Stadion 2 Desember"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_278"", ""name"": ""Jl. Menuju SMPN Malilingin"", ""score"": 0.2967, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_063"", ""name"": ""Jl. Budi Bakti - Tiga Desember"", ""score"": 0.2525, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_261"", ""name"": ""Jl. Menuju SMP 7 - Ds. Gambah Dalam"", ""score"": 0.2042, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_230"", ""name"": ""Jl. Haratai 2 (SDN Haratai2)"", ""score"": 0.1919, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,105,2026,PHYSICAL,Rehabilitasi Ruas Jalan   Angkinang Selatan – Tawia – Wawaran Kec. Angkinang,0055 – Rehabilitasi Jalan,3502895000,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.,"[{""ref"": ""ruas_106"", ""name"": ""Angkinang Selatan - Tawia - Wawaran"", ""score"": 1.0, ""method"": ""exact_normalized""}, {""ref"": ""ruas_213"", ""name"": ""Taniran Selatan Kubah - Buntut Taniran/Wawaran"", ""score"": 0.3901, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_248"", ""name"": ""Taniran Selatan - Rantauan"", ""score"": 0.3252, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_130"", ""name"": ""Angkinang - Telaga Langsat"", ""score"": 0.3138, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_315"", ""name"": ""Taniran Tengah - Taniran Selatan"", ""score"": 0.3138, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,107,2026,PHYSICAL,Rehabilitasi Ruas Jalan   Tanjungan – Sp. Sakijang Kec. Sungai Raya,0055 – Rehabilitasi Jalan,1929945000,EXISTING,REVIEW,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Skor berada pada rentang review.","[{""ref"": ""ruas_032"", ""name"": ""Tanjungan - SP.3 Sakijang"", ""score"": 0.7867, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_075"", ""name"": ""Tanayung - Simpang Ambarai"", ""score"": 0.3481, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_085"", ""name"": ""Simpur - Simpang Bilui"", ""score"": 0.3195, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_059"", ""name"": ""Tanjungan - SP.10 Batang Kulur - Sungai Kali"", ""score"": 0.3158, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_091"", ""name"": ""Kandangan Hulu - SP. Tabihi"", ""score"": 0.2847, ""method"": ""fuzzy_token_edit""}]"
